id;typ;maszyna;operacja;nazwa_czesci;cecha;zuzycie
1;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Wypychacz;LKw-5/1-11;1000000
2;RS-22214 E/VX5A1;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;NóŸ ucinaj¹cy;LKn-5a_5-26;500000
3;RS-22214 E/VX5A1;NP-440R;Kucie - Ciêcie  i  podawanie  materia³u;Tulejka tn¹ca;LKt-5a-6;500000
4;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Gniazdo;LKm-5/1/3-18;250000
5;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Wkladka matrycy;LKm-5/1/2-21;600000
6;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko  I;Stempel;LKs-5/1-18C;300000
7;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Wklad.matr.(walc.bar);LKm-5/2/1-19;400000
8;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko  I;£apki podaj¹ce;LKy-5/1-16;300000
9;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Wypychacz;LKw-5/1-11;1000000
10;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Stempel;LKs-5/2-18;500000
11;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko  II;Gniazdo;LKm-5/2/2-18;300000
12;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko  II;£apki;LKy-5/2-17;600000
13;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Wk³adka matrycy;LKm-5/3/1-27;400000
14;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Gniazdo (bary³ki);LKm-5/3/2-18;1000000
15;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko  III;£apki;LKy-5/3-17;600000
16;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Wypychacz;LKw-5/3-29;1000000
17;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko  III;Stempel;LKs-5/3-56;80000
18;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);Wk³adka matr.(bary³ki);LKm-5/4/2-25;70000
19;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);Wypychacz;LKw-5/4/1-13;600000
20;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);G³ówka wypychacza;LKw-5/4/2-5;600000
21;RS-22214 E/VX5A1;NP-440R;Kucie - Stanowisko IV (matrycowe);£apki;LKy-5/4-19;300000
